Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,default
US-WI-53228-Rate 1,US,WI,53228,5.6,,,,
US-WI-53233-Rate 1,US,WI,53233,5.6,,,,
US-WI-53234-Rate 1,US,WI,53234,5.6,,,,
US-WI-53234-Rate 1,US,WI,53234,5.6,,,,
US-WI-53234-Rate 1,US,WI,53234,5.6,,,,
US-WI-53235-Rate 1,US,WI,53235,5.6,,,,
US-WI-53235-Rate 1,US,WI,53235,5.6,,,,
US-WI-53235-Rate 1,US,WI,53235,5.6,,,,
US-WI-53237-Rate 1,US,WI,53237,5.6,,,,
US-WI-53259-Rate 1,US,WI,53259,5.6,,,,
US-WI-53263-Rate 1,US,WI,53263,5.6,,,,
US-WI-53267-Rate 1,US,WI,53267,5.6,,,,
US-WI-53268-Rate 1,US,WI,53268,5.6,,,,
US-WI-53274-Rate 1,US,WI,53274,5.6,,,,
US-WI-53278-Rate 1,US,WI,53278,5.6,,,,
US-WI-53288-Rate 1,US,WI,53288,5.6,,,,
US-WI-53290-Rate 1,US,WI,53290,5.6,,,,
US-WI-53293-Rate 1,US,WI,53293,5.6,,,,
US-WI-53295-Rate 1,US,WI,53295,5.6,,,,
US-WI-53401-Rate 1,US,WI,53401,5.1,,,,
US-WI-53402-Rate 1,US,WI,53402,5.1,,,,
US-WI-53403-Rate 1,US,WI,53403,5.1,,,,
US-WI-53404-Rate 1,US,WI,53404,5.1,,,,
US-WI-53405-Rate 1,US,WI,53405,5.1,,,,
US-WI-53406-Rate 1,US,WI,53406,5.1,,,,
US-WI-53407-Rate 1,US,WI,53407,5.1,,,,
US-WI-53408-Rate 1,US,WI,53408,5.1,,,,
US-WI-53490-Rate 1,US,WI,53490,5.1,,,,
US-WI-53501-Rate 1,US,WI,53501,5,,,,
US-WI-53502-Rate 1,US,WI,53502,5.5,,,,
US-WI-53503-Rate 1,US,WI,53503,5.5,,,,
US-WI-53504-Rate 1,US,WI,53504,5.5,,,,
US-WI-53505-Rate 1,US,WI,53505,5,,,,
US-WI-53506-Rate 1,US,WI,53506,5.5,,,,
US-WI-53507-Rate 1,US,WI,53507,5.5,,,,
US-WI-53508-Rate 1,US,WI,53508,5.5,,,,
US-WI-53510-Rate 1,US,WI,53510,5.5,,,,
US-WI-53511-Rate 1,US,WI,53511,5,,,,
US-WI-53512-Rate 1,US,WI,53512,5,,,,
US-WI-53515-Rate 1,US,WI,53515,5.5,,,,
US-WI-53516-Rate 1,US,WI,53516,5.5,,,,
US-WI-53517-Rate 1,US,WI,53517,5.5,,,,
US-WI-53518-Rate 1,US,WI,53518,5.5,,,,
US-WI-53520-Rate 1,US,WI,53520,5.5,,,,
US-WI-53521-Rate 1,US,WI,53521,5.5,,,,
US-WI-53522-Rate 1,US,WI,53522,5.5,,,,
US-WI-53523-Rate 1,US,WI,53523,5.5,,,,
US-WI-53525-Rate 1,US,WI,53525,5,,,,
US-WI-53526-Rate 1,US,WI,53526,5.5,,,,
US-WI-53527-Rate 1,US,WI,53527,5.5,,,,
US-WI-53528-Rate 1,US,WI,53528,5.5,,,,
US-WI-53529-Rate 1,US,WI,53529,5.5,,,,
US-WI-53530-Rate 1,US,WI,53530,5.5,,,,
US-WI-53531-Rate 1,US,WI,53531,5.5,,,,
US-WI-53532-Rate 1,US,WI,53532,5.5,,,,
US-WI-53533-Rate 1,US,WI,53533,5.5,,,,
US-WI-53534-Rate 1,US,WI,53534,5,,,,
US-WI-53535-Rate 1,US,WI,53535,5.5,,,,
US-WI-53535-Rate 1,US,WI,53535,5.5,,,,
US-WI-53536-Rate 1,US,WI,53536,5,,,,
US-WI-53537-Rate 1,US,WI,53537,5,,,,
US-WI-53538-Rate 1,US,WI,53538,5.5,,,,
